"Name","Rank","TID","Max","metaphlan_results.txt","Lineage"
"Flavobacteriaceae","F","49546","10.092","10.092","Bacteria>Bacteroidetes>Flavobacteriia>Flavobacteriales"
"Neisseriaceae","F","481","6.4514","6.45145","Bacteria>Proteobacteria>Betaproteobacteria>Neisseriales"
"Streptococcaceae","F","1300","4.7362","4.73616","Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Candidatus Saccharibacteria unclassified","F","","4.229","4.22905","Bacteria>Candidatus Saccharibacteria>Candidatus Saccharibacteria unclassified>Candidatus Saccharibacteria unclassified"
"Lachnospiraceae","F","186803","4.0207","4.02073","Bacteria>Firmicutes>Clostridia>Clostridiales"
"Leptotrichiaceae","F","1129771","3.7807","3.78066","Bacteria>Fusobacteria>Fusobacteriia>Fusobacteriales"
"Clostridiales Family XIII Incertae Sedis","F","543314","3.5973","3.59728","Bacteria>Firmicutes>Clostridia>Clostridiales"
"Propionibacteriaceae","F","31957","3.4547","3.45469","Bacteria>Actinobacteria>Actinobacteria>Propionibacteriales"
"FGB1394","F","","3.3889","3.38892","Bacteria>Firmicutes>CFGB1394>OFGB1394"
"Aerococcaceae","F","186827","3.2915","3.29146","Bacteria>Firmicutes>Bacilli>Lactobacillales"
"Actinomycetaceae","F","2049","3.0393","3.03934","Bacteria>Actinobacteria>Actinobacteria>Actinomycetales"
"Bacteroidetes unclassified","F","","2.9891","2.98908","Bacteria>Bacteroidetes>Bacteroidetes unclassified>Bacteroidetes unclassified"
"Candidatus Absconditabacteria unclassified","F","","2.6951","2.69507","Bacteria>Candidatus Absconditabacteria>Candidatus Absconditabacteria unclassified>Candidatus Absconditabacteria unclassified"
"Spirochaetaceae","F","137","2.6442","2.64425","Bacteria>Spirochaetes>Spirochaetia>Spirochaetales"
"Peptostreptococcaceae","F","186804","2.5893","2.58933","Bacteria>Firmicutes>Clostridia>Clostridiales"
