#mpa_v30_CHOCOPhlAn_201901
#/home/mrayko/mambaforge/bin/metaphlan G12_assembly.fna.bowtie2out.txt --input_type bowtie2out --nproc 4
#905600 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Firmicutes	2|1239	29.3976	
k__Bacteria|p__Bacteroidetes	2|976	21.42091	
k__Bacteria|p__Proteobacteria	2|1224	14.12702	
k__Bacteria|p__Actinobacteria	2|201174	11.14556	
k__Bacteria|p__Candidatus_Saccharibacteria	2|95818	8.08793	
k__Bacteria|p__Fusobacteria	2|32066	5.43757	
k__Bacteria|p__Candidatus_Absconditabacteria	2|221235	2.69507	
k__Bacteria|p__Spirochaetes	2|203691	2.64425	
k__Bacteria|p__Synergistetes	2|508458	2.23514	
k__Bacteria|p__Candidatus_Gracilibacteria	2|363464	1.41137	
k__Bacteria|p__Chloroflexi	2|200795	1.39756	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia	2|976|117743	12.09421	
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	10.88791	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	10.06914	
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	8.72817	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	8.11893	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	6.33762	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia	2|32066|203490	5.43757	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified	2|95818|	4.22905	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	3.54141	
k__Bacteria|p__Firmicutes|c__CFGB1394	2|1239|	3.38892	
k__Bacteria|p__Bacteroidetes|c__Bacteroidetes_unclassified	2|976|	2.98908	
k__Bacteria|p__Candidatus_Absconditabacteria|c__Candidatus_Absconditabacteria_unclassified	2|221235|	2.69507	
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	2.64425	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.41739	
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	2.23514	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharimonia	2|95818|2093818	2.18145	
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	1.97655	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	1.58651	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanoperiomorbia	2|95818|2171981	1.5532	
k__Bacteria|p__Firmicutes|c__CFGB16518	2|1239|	1.55313	
k__Bacteria|p__Candidatus_Gracilibacteria|c__Candidatus_Gracilibacteria_unclassified	2|363464|	1.41137	
k__Bacteria|p__Chloroflexi|c__Anaerolineae	2|200795|292625	1.39756	
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.90726	
k__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria	2|1224|29547	0.88018	
k__Bacteria|p__Firmicutes|c__CFGB4788	2|1239|	0.33973	
k__Bacteria|p__Firmicutes|c__CFGB4791	2|1239|	0.27495	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia	2|95818|2171982	0.12424	
k__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales	2|976|117743|200644	12.09421	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	10.88791	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	9.38516	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales	2|1224|28216|206351	6.45145	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	6.33762	
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	2|32066|203490|203491	5.43757	
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Saccharibacteria_unclassified|o__Candidatus_Saccharibacteria_unclassified	2|95818||	4.22905	
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales	2|201174|1760|85009	3.45469	
